,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source,Table_S1_Zazzeri,Table_S2_Zazzeri,RX_RADD_ENSI_RIFE,RX_Group,EF_Zazzeri [TBq GWa^-1],H_yr,Emissions [TBq yr^-1],Comment,Emissions [GBq yr^-1],Origin
0,ARGENTINA,ATUCHA-1,PHWR,Operational,1974,947.5,4458.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.173183539046326,,173.059361,Table S1 Zazzeri et al. 2018
1,ARGENTINA,ATUCHA-1,PHWR,Operational,1975,2357.8,7730.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4309574125207679,,430.648402,Table S1 Zazzeri et al. 2018
2,ARGENTINA,ATUCHA-1,PHWR,Operational,1976,2408.6,7808.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784.0,0.4390397604672867,,439.926941,Table S1 Zazzeri et al. 2018
3,ARGENTINA,ATUCHA-1,PHWR,Operational,1977,1537.0,4650.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.2809320311495548,,280.730594,Table S1 Zazzeri et al. 2018
4,ARGENTINA,ATUCHA-1,PHWR,Operational,1978,2711.81,8026.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4956631694155329,,495.307763,Table S1 Zazzeri et al. 2018
5,ARGENTINA,ATUCHA-1,PHWR,Operational,1979,2503.7,7551.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4576249358419911,,457.296804,Table S1 Zazzeri et al. 2018
6,ARGENTINA,ATUCHA-1,PHWR,Operational,1980,2180.5,6947.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784.0,0.3974616780282815,,398.26484,Table S1 Zazzeri et al. 2018
7,ARGENTINA,ATUCHA-1,PHWR,Operational,1981,2647.6,8120.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4839269002417444,,483.579909,Table S1 Zazzeri et al. 2018
8,ARGENTINA,ATUCHA-1,PHWR,Operational,1982,1753.6,5600.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.320522062344736,,320.292237,Table S1 Zazzeri et al. 2018
9,ARGENTINA,ATUCHA-1,PHWR,Operational,1983,2356.0,8101.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4306284094914451,,430.319635,Table S1 Zazzeri et al. 2018
10,ARGENTINA,ATUCHA-1,PHWR,Operational,1984,1706.12,8678.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784.0,0.310991661599455,,311.620091,Table S1 Zazzeri et al. 2018
11,ARGENTINA,ATUCHA-1,PHWR,Operational,1985,1470.45,7159.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.2687680580376466,,268.575342,Table S1 Zazzeri et al. 2018
12,ARGENTINA,ATUCHA-1,PHWR,Operational,1986,2204.96,7532.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4030213997420445,,402.73242,Table S1 Zazzeri et al. 2018
13,ARGENTINA,ATUCHA-1,PHWR,Operational,1987,1405.8,4391.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.2569513659011347,,256.76712299999997,Table S1 Zazzeri et al. 2018
14,ARGENTINA,ATUCHA-1,PHWR,Operational,1988,808.1,2515.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784.0,0.1473005191537052,,147.598174,Table S1 Zazzeri et al. 2018
15,ARGENTINA,ATUCHA-1,PHWR,Operational,1990,1722.59,7201.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.3148540712673465,,314.628311,Table S1 Zazzeri et al. 2018
16,ARGENTINA,ATUCHA-1,PHWR,Operational,1991,2721.89,8390.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4975055863797408,,497.148858,Table S1 Zazzeri et al. 2018
17,ARGENTINA,ATUCHA-1,PHWR,Operational,1992,2230.24,7089.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784.0,0.4065282883768835,,407.349772,Table S1 Zazzeri et al. 2018
18,ARGENTINA,ATUCHA-1,PHWR,Operational,1993,2403.66,7287.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4393396785900708,,439.024658,Table S1 Zazzeri et al. 2018
19,ARGENTINA,ATUCHA-1,PHWR,Operational,1994,2651.86,7916.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4847055407444752,,484.35799099999997,Table S1 Zazzeri et al. 2018
20,ARGENTINA,ATUCHA-1,PHWR,Operational,1995,2671.71,8376.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4883337130400632,,487.983562,Table S1 Zazzeri et al. 2018
21,ARGENTINA,ATUCHA-1,PHWR,Operational,1996,2038.8,6990.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784.0,0.3716325930585005,,372.383562,Table S1 Zazzeri et al. 2018
22,ARGENTINA,ATUCHA-1,PHWR,Operational,1997,2720.14,8329.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4971857223234547,,496.829224,Table S1 Zazzeri et al. 2018
23,ARGENTINA,ATUCHA-1,PHWR,Operational,1998,2374.36,7242.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.433984240390538,,433.673059,Table S1 Zazzeri et al. 2018
24,ARGENTINA,ATUCHA-1,PHWR,Operational,1999,1395.5,4364.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.2550687374555652,,254.885845,Table S1 Zazzeri et al. 2018
25,ARGENTINA,ATUCHA-1,PHWR,Operational,2000,1677.85,5038.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784.0,0.3058386042099299,,306.456621,Table S1 Zazzeri et al. 2018
26,ARGENTINA,ATUCHA-1,PHWR,Operational,2001,1425.96,4407.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.2606361998295505,,260.449315,Table S1 Zazzeri et al. 2018
27,ARGENTINA,ATUCHA-1,PHWR,Operational,2002,1011.5,3030.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.1848814245333602,,184.74885799999998,Table S1 Zazzeri et al. 2018
28,ARGENTINA,ATUCHA-1,PHWR,Operational,2003,2020.6,6094.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.3693241783609566,,369.05936099999997,Table S1 Zazzeri et al. 2018
29,ARGENTINA,ATUCHA-1,PHWR,Operational,2004,2725.01,8250.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784.0,0.4967149952964217,,497.71872099999996,Table S1 Zazzeri et al. 2018
30,ARGENTINA,ATUCHA-1,PHWR,Operational,2005,1997.96,7004.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.3651860513699183,,364.924201,Table S1 Zazzeri et al. 2018
31,ARGENTINA,ATUCHA-1,PHWR,Operational,2006,2100.55,6403.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.3839373962467127,,383.6621,Table S1 Zazzeri et al. 2018
32,ARGENTINA,ATUCHA-1,PHWR,Operational,2007,2718.74,8300.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4969298310784258,,496.573516,Table S1 Zazzeri et al. 2018
33,ARGENTINA,ATUCHA-1,PHWR,Operational,2008,2481.26,7562.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784.0,0.4522842298667525,,453.198174,Table S1 Zazzeri et al. 2018
34,ARGENTINA,ATUCHA-1,PHWR,Operational,2009,2397.18,7296.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4381552676845086,,437.841096,Table S1 Zazzeri et al. 2018
35,ARGENTINA,ATUCHA-1,PHWR,Operational,2010,2782.75,8560.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.5086295443600675,,508.26484000000005,Table S1 Zazzeri et al. 2018
36,ARGENTINA,ATUCHA-1,PHWR,Operational,2011,2334.46,7289.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4266913399072152,,426.385388,Table S1 Zazzeri et al. 2018
37,ARGENTINA,ATUCHA-1,PHWR,Operational,2012,2477.36,7521.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784.0,0.4515733376198778,,452.485845,Table S1 Zazzeri et al. 2018
38,ARGENTINA,ATUCHA-1,PHWR,Operational,2013,2449.53,7310.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4477237724539811,,447.40274,Table S1 Zazzeri et al. 2018
39,ARGENTINA,ATUCHA-1,PHWR,Operational,2014,2631.71,7875.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4810225346106668,,480.67762600000003,Table S1 Zazzeri et al. 2018
40,ARGENTINA,ATUCHA-1,PHWR,Operational,2015,1951.35,6109.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.3566667007050642,,356.41095900000005,Table S1 Zazzeri et al. 2018
41,ARGENTINA,ATUCHA-1,PHWR,Operational,2016,2476.82,7700.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784.0,0.4514749063856952,,452.387215,Table S1 Zazzeri et al. 2018
42,ARGENTINA,ATUCHA-1,PHWR,Operational,2017,2359.66,7832.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4312973823177348,,431.2973823177348,EF Zazzeri et al. 2018
43,ARGENTINA,ATUCHA-1,PHWR,Operational,2018,2274.09,7393.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4156569438626487,,415.6569438626487,EF Zazzeri et al. 2018
44,ARGENTINA,ATUCHA-1,PHWR,Operational,2019,2392.4,7341.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4372815818621958,,437.28158186219576,EF Zazzeri et al. 2018
45,ARGENTINA,ATUCHA-1,PHWR,Operational,2020,2680.41,8067.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784.0,0.4885853044731877,,488.5853044731877,EF Zazzeri et al. 2018
46,ARGENTINA,ATUCHA-1,PHWR,Operational,2021,2318.78,7243.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4238253579628918,,423.82535796289176,EF Zazzeri et al. 2018
47,ARGENTINA,ATUCHA-1,PHWR,Operational,2022,2034.01,6528.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.3717752509294118,,371.7752509294118,EF Zazzeri et al. 2018
48,ARGENTINA,ATUCHA-1,PHWR,Operational,2023,2197.12,6855.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760.0,0.4015884087698828,,401.5884087698828,EF Zazzeri et al. 2018
49,ARGENTINA,ATUCHA-1,PHWR,Operational,2024,2055.74,6284.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784.0,0.3747204173308229,,374.7204173308229,EF Zazzeri et al. 2018
50,ARGENTINA,ATUCHA-2,PHWR,Operational,2014,1093.35,3071.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5,Atucha 2,,,Atucha 1-2,1.601461187278584,8760.0,0.199881003323178,,199.69862999999998,Table S1 Zazzeri et al. 2018
51,ARGENTINA,ATUCHA-2,PHWR,Operational,2015,3925.92,6928.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5,Atucha 2,,,Atucha 1-2,1.601461187278584,8760.0,0.7177178657946048,,717.0630140000001,Table S1 Zazzeri et al. 2018
52,ARGENTINA,ATUCHA-2,PHWR,Operational,2016,5200.54,8063.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5,Atucha 2,,,Atucha 1-2,1.601461187278584,8784.0,0.9481401369410026,,949.87032,Table S1 Zazzeri et al. 2018
