Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source,Table_S1_Zazzeri,Table_S2_Zazzeri,RX_RADD_ENSI_RIFE,RX_Group,EF_Zazzeri [TBq GWa^-1],H_yr,Emissions [TBq yr^-1],Comment,Emissions [GBq yr^-1],Origin,Latitude,Longitude
ARGENTINA,ATUCHA-1,PHWR,Operational,1991,2721.89,8390.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4975055863797408,,497.148858,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1992,2230.24,7089.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784,0.4065282883768835,,407.349772,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1993,2403.66,7287.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4393396785900708,,439.024658,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1994,2651.86,7916.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4847055407444752,,484.357991,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1995,2671.71,8376.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4883337130400632,,487.983562,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1996,2038.8,6990.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784,0.3716325930585005,,372.383562,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1997,2720.14,8329.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4971857223234547,,496.829224,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1998,2374.36,7242.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.433984240390538,,433.673059,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1999,1395.5,4364.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.2550687374555652,,254.885845,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2000,1677.85,5038.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784,0.3058386042099299,,306.456621,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2001,1425.96,4407.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.2606361998295505,,260.449315,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2002,1011.5,3030.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.1848814245333602,,184.748858,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2003,2020.6,6094.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.3693241783609566,,369.059361,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2004,2725.01,8250.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784,0.4967149952964217,,497.718721,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2005,1997.96,7004.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.3651860513699183,,364.924201,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2006,2100.55,6403.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.3839373962467127,,383.6621,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2007,2718.74,8300.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4969298310784258,,496.573516,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2008,2481.26,7562.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784,0.4522842298667525,,453.198174,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2009,2397.18,7296.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4381552676845086,,437.841096,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2010,2782.75,8560.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.5086295443600675,,508.2648400000001,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2011,2334.46,7289.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4266913399072152,,426.385388,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2012,2477.36,7521.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784,0.4515733376198778,,452.485845,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2013,2449.53,7310.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4477237724539811,,447.40274,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2014,2631.71,7875.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4810225346106668,,480.677626,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2015,1951.35,6109.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.3566667007050642,,356.41095900000005,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2016,2476.82,7700.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784,0.4514749063856952,,452.387215,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2017,5716.27,12962.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,1.0449367243075942,,1044.9367243075942,EF Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2018,6452.97,13841.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,1.1796197436679832,,1179.6197436679831,EF Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2019,4140.79,14342.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.7569138564313742,,756.9138564313743,EF Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2020,5102.28,14222.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784,0.9301302504698161,,930.1302504698161,EF Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2021,5829.66,14460.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,1.0656676014780326,,1065.6676014780328,EF Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,2022,3293.04,9909.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.6019450772558222,,601.9450772558222,EF Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
