name,latitude,longitude,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Grafenrheinfeld,49.984086,10.184669,63.0,25.0,66.0,140.0,140.0,70.0,72.0,77.0,110.0,110.0,38.0,2.6,0.9,3.3,0.2688,0.34,0.34
Krümmel,53.41,10.408889,350.0,190.0,39.0,25.0,29.0,5.4,2.5,1.0,8.9,1.3,1.2,1.9,1.6,2.1,3.9,5.4,5.4
Brunsbüttel,53.891667,9.201667,280.0,220.0,120.0,3.4,14.0,1.5,0.96,2.9,0.0,0.0,2.3,5.1,7.6,1.4,4.4,3.5,3.5
Unterweser,53.4277,8.480197,1.8,2.1,6.1,27.0,26.0,18.0,13.0,3.9,6.4,0.62,0.56,0.7,0.7,0.44,0.42,1.3,1.3
Würgassen,51.639167,9.391389,1.5,2.2,1.4,1.9,1.0,0.43,0.35,0.0,0.0,0.0,0.045,0.046,0.043,0.05,0.048,0.042,0.042
Obrigheim,49.364444,9.076389,3.2,7.6,1.2,1.8,1.2,0.65,0.59,0.92,1.8,1.7,1.8,0.44,0.13,0.048,0.42,0.21,0.21
Mülheim-Kärlich,50.408056,7.49,4.8,2.3,0.7,0.63,0.0,0.13,0.33,0.38,0.5,0.28,0.91,0.22,0.12,0.00021,0.0,0.018,0.018
Stade,53.62,9.530833,0.65,0.93,1.6,0.22,0.4,1.876,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THTR 300,51.679167,7.971667,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paks,46.5725,18.854167,47.6,34.0,21.3,32.1,24.0,14.6,23.0,23.5,25.1,22.5,23.0,176.96,23.8,23.3,24.4,223.16,34.1
Ignalina,55.604444,26.56,1178.988699,1346.724315,21.8,30.9,1.42,3.52,2.07,4.39,2.19,4.07,1.25,1.15,3.82,4.03,105.0,22.4,24.1
Borssele,51.430833,3.718333,32.2,39.76,34.16,43.68,46.2,49.56,44.24,45.64,30.24,35.84,42.28,43.96,33.32,35.0,38.92,34.44,34.44
